date,season,holiday,weekday,workingday,forecast,temperature,humidity,wind,icecream sales
21-10-2018,4,0,5,1,1,17.5275,57.4167,14.833532,4304
22-10-2018,4,0,6,0,1,17.3225,62.9167,6.2086689,4308
23-10-2018,4,0,0,0,1,17.288347,74.125,6.6673375,4381
24-10-2018,4,0,1,1,1,18.996653,77.2083,7.959064,4187
25-10-2018,4,0,2,1,1,19.338347,62.2917,11.166086,4687
26-10-2018,4,0,3,1,2,19.850847,72.0417,9.959014,3894
27-10-2018,4,0,4,1,2,19.27,81.2917,13.250121,2659
28-10-2018,4,0,5,1,2,13.564153,58.5833,15.375093,3747
29-10-2018,4,0,6,0,3,10.420847,88.25,23.541857,627
30-10-2018,4,0,0,0,1,13.085847,62.375,11.833339,3331
31-10-2018,4,0,1,1,1,13.94,70.3333,7.12545,3669
1/11/2018,4,0,2,1,1,16.434153,68.375,9.083257,4068
2/11/2018,4,0,3,1,1,15.4775,71.875,5.5001439,4186
3/11/2018,4,0,4,1,1,16.741653,70.2083,9.166739,3974
4/11/2018,4,0,5,1,2,16.536653,62.25,18.209193,4046
5/11/2018,4,0,6,0,1,13.393347,51.9167,12.667154,3926
6/11/2018,4,0,0,0,1,14.281653,73.4583,6.1676314,3649
7/11/2018,4,0,1,1,1,16.195,75.875,3.834075,4035
8/11/2018,4,0,2,1,1,16.741653,72.1667,4.6255125,4205
9/11/2018,4,0,3,1,1,16.4,75.8333,4.1671186,4109
10/11/2018,4,0,4,1,2,15.58,81.3333,12.667489,2933
11/11/2018,4,1,5,0,1,13.290847,44.625,21.083225,3368
12/11/2018,4,0,6,0,1,14.623347,55.2917,14.208154,4067
13-11-2018,4,0,0,0,1,18.074153,45.8333,18.875307,3717
14-11-2018,4,0,1,1,1,21.73,58.7083,20.541932,4486
15-11-2018,4,0,2,1,2,21.73,68.875,13.375411,4195
16-11-2018,4,0,3,1,3,18.723347,93,9.167543,1817
17-11-2018,4,0,4,1,2,14.008347,57.5833,20.459254,3053
18-11-2018,4,0,5,1,1,11.240847,41,11.291711,3392
19-11-2018,4,0,6,0,1,13.495847,50.2083,15.041232,3663
20-11-2018,4,0,0,0,2,18.996653,68.4583,12.45865,3520
21-11-2018,4,0,1,1,3,18.3475,91,9.249618,2765
22-11-2018,4,0,2,1,3,17.083347,96.25,7.959064,1607
23-11-2018,4,0,3,1,2,18.074153,75.7917,22.500275,2566
24-11-2018,4,1,4,0,1,15.306653,54.9167,11.209368,1495
25-11-2018,4,0,5,1,1,15.375,64.375,6.6260186,2792
26-11-2018,4,0,6,0,1,15.409153,68.1667,4.5841936,3068
27-11-2018,4,0,0,0,1,18.825847,69.8333,13.999918,3071
28-11-2018,4,0,1,1,1,20.642598,74.3043,9.522174,3867
29-11-2018,4,0,2,1,2,18.791653,83.0833,17.292164,2914
30-11-2018,4,0,3,1,1,13.325,61.3333,18.167586,3613
1/12/2018,4,0,4,1,1,12.8125,52.4583,14.750586,3727
2/12/2018,4,0,5,1,1,12.880847,62.5833,6.750518,3940
3/12/2018,4,0,6,0,1,12.265847,61.2917,6.4174811,3614
4/12/2018,4,0,0,0,1,13.564153,77.5833,5.6252061,3485
5/12/2018,4,0,1,1,2,15.819153,82.7083,4.1679561,3811
6/12/2018,4,0,2,1,3,18.9625,94.9583,15.583061,2594
7/12/2018,4,0,3,1,3,16.81,97.0417,17.833725,705
8/12/2018,4,0,4,1,1,10.899153,58,16.083886,3322
9/12/2018,4,0,5,1,1,11.924153,69.5833,5.5420189,3620
10/12/2018,4,0,6,0,1,11.275,50.75,15.625807,3190
11/12/2018,4,0,0,0,1,9.054153,49,4.4582939,2743
12/12/2018,4,0,1,1,1,9.771653,67.0833,4.25115,3310
13-12-2018,4,0,2,1,1,11.5825,59,9.41685,3523
14-12-2018,4,0,3,1,2,13.0175,66.375,4.0842061,3740
15-12-2018,4,0,4,1,2,17.3225,63.4167,17.958814,3709
16-12-2018,4,0,5,1,2,15.375,50.0417,17.458525,3577
17-12-2018,4,0,6,0,2,10.591653,56.0833,16.292189,2739
18-12-2018,4,0,0,0,1,9.771653,58.625,11.375193,2431
19-12-2018,4,0,1,1,1,11.343347,63.75,11.584032,3403
20-12-2018,4,0,2,1,2,15.819153,59.5417,4.1252436,3750
21-12-2018,1,0,3,1,2,17.561653,85.8333,14.8338,2660
22-12-2018,1,0,4,1,2,17.356653,75.75,3.167425,3068
23-12-2018,1,0,5,1,1,15.306653,68.625,18.374482,2209
24-12-2018,1,0,6,0,1,12.4025,54.25,12.750368,1011
25-12-2018,1,0,0,0,1,11.266103,68.1304,10.391097,754
26-12-2018,1,1,1,0,1,13.191299,50.6957,16.044155,1317
27-12-2018,1,0,2,1,2,13.325,76.25,12.62615,1162
28-12-2018,1,0,3,1,1,12.26433,50.3913,19.695387,2302
29-12-2018,1,0,4,1,1,10.181653,57.4167,8.000604,2423
30-12-2018,1,0,5,1,1,12.778347,63.6667,9.000579,2999
31-12-2018,1,0,6,0,1,16.81,61.5833,14.750318,2485
1/1/2019,1,0,0,0,1,15.17,69.25,12.875189,2294
2/1/2019,1,1,1,0,1,11.194763,38.1304,22.087555,1951
3/1/2019,1,0,2,1,1,6.15,44.125,24.499957,2236
4/1/2019,1,0,3,1,2,4.4075,41.4583,12.3749,2368
5/1/2019,1,0,4,1,1,10.899153,52.4167,8.709129,3272
6/1/2019,1,0,5,1,1,13.700847,54.2083,11.249836,4098
7/1/2019,1,0,6,0,1,16.126653,53.1667,11.708786,4521
8/1/2019,1,0,0,0,1,13.8375,46.5,12.833314,3425
9/1/2019,1,0,1,1,2,9.190847,70.1667,6.6263,2376
10/1/2019,1,0,2,1,1,12.656536,64.6522,12.565984,3598
11/1/2019,1,0,3,1,2,11.240847,84.75,8.791807,2177
12/1/2019,1,0,4,1,2,15.6825,80.2917,12.124789,4097
13-01-2019,1,0,5,1,1,11.240847,50.75,25.333236,3214
14-01-2019,1,0,6,0,1,7.38,45.75,12.541261,2493
15-01-2019,1,0,0,0,1,6.833347,41.9167,16.834286,2311
16-01-2019,1,1,1,0,1,7.79,52.25,15.500986,2298
17-01-2019,1,0,2,1,2,15.294763,71.6087,23.39171,2935
18-01-2019,1,0,3,1,1,12.436653,44.3333,27.833743,3376
19-01-2019,1,0,4,1,1,7.79,49.75,14.750586,3292
20-01-2019,1,0,5,1,2,8.9175,45,13.58425,3163
21-01-2019,1,0,6,0,2,7.106653,83.125,14.917014,1301
22-01-2019,1,0,0,0,2,6.6625,79.625,13.375746,1977
23-01-2019,1,0,1,1,2,8.951653,91.125,7.417436,2432
24-01-2019,1,0,2,1,1,14.0425,83.5833,8.292389,4339
25-01-2019,1,0,3,1,1,12.060847,64.375,10.791757,4270
26-01-2019,1,0,4,1,2,14.008347,76.9583,4.9175186,4075
27-01-2019,1,0,5,1,2,17.425,74.125,22.958689,3456
28-01-2019,1,0,6,0,1,12.949153,54.3333,14.125543,4023
29-01-2019,1,0,0,0,1,11.5825,31.125,16.08335,3243
30-01-2019,1,0,1,1,1,11.035847,40.0833,14.458064,3624
31-01-2019,1,0,2,1,1,15.99,41.6667,17.541739,4509
1/2/2019,1,0,3,1,1,19.235847,50.7917,12.667489,4579
2/2/2019,1,0,4,1,2,16.365847,67.2917,12.541529,3761
3/2/2019,1,0,5,1,1,12.846653,52.6667,11.959232,4151
4/2/2019,1,0,6,0,2,10.830847,77.9583,8.167032,2832
5/2/2019,1,0,0,0,2,10.899153,68.7917,11.791732,2947
6/2/2019,1,0,1,1,1,11.586969,62.2174,10.3046,3784
7/2/2019,1,0,2,1,1,14.520847,49.625,9.874393,4375
8/2/2019,1,0,3,1,2,10.523347,72.2917,8.959307,2802
